Depression,CPES,NCSR,NLAAS,NSAL
V00870: BLDEPRESS.D26_YESCOUNT,V00870,-,D26_YESC,-
V00827: INTERVIEWER CHECKPOINT,V00827,-,D0,-
"V00828: DID R SAY YES TO SC21, SC22 or SC23?",V00828,-,-,DP0
V00829: Sad/depr episode - discouraged about life,V00829,D1,D1,DP1
V00830: Sad/depr episode - lost interest in enjoyable things,V00830,D1A,D1A,DP1A
V00831: Sad/depr episode - lost interest in enjoyable things,V00831,D1B,D1B,DP1B
V00832: Discouraged about life episode - lost int in enjoy things,V00832,D2,D2,DP2
V00833: Lost int in enjoy things episode - felt most of time 2+ wks,V00833,D9,D9,DP9
V00834: Longest # of days lost interest in enjoyable things,V00834,D9A,D9A,DP9A
"V00835: Time unit lost interest in enjoy things,D9A",V00835,D9A1,D9A1,DP9A1
V00836: Longest period of losing interest-3+ days,V00836,D9A2,D9A2,DP9A2
V00837: INTERVIEWER CHECKPOINT,V00837,-,D10,DP10
V00838: INTERVIEWER INSTRUCTION,V00838,-,D11,DP11
V00839: Life had no meaning period - felt most of time 2+ wks,V00839,-,D11A,-
V00840: Longest # of days life had no meaning,V00840,-,D11B,-
V00841: Time unit life had no meaning,V00841,-,D11B1,-
V00843: INTERVIEWER CHECKPOINT,V00843,-,D11C,-
V00844: INTERVIEWER INSTRUCTION,V00844,-,D11D,-
V00845: Sadness episode lasted all day for 2+ wks,V00845,D12,D12,DP12
V00846: Longest # of days felt sad/discouraged/depressed,V00846,D12A,D12A,DP12A
V00847: INTERVIEWER CHECKPOINT,V00847,-,D13,DP13
V00848: Sad episode several days almost every month for a year,V00848,D14,D14,DP14
V00849: Severe several day episode - # hours sadness/day,V00849,D15,D15,DP15
V00850: Severe 2+ wk episode - # hours sadness/day,V00850,D16,D16,DP16
V00851: Severity of emotional distress during sad episode,V00851,D17,D17,DP17
V00852: Severe sad episode - how often nothing could cheer you,V00852,D18,D18,DP18
V00853: Emotional distress so severe could not carry out activities,V00853,D19,D19,DP19
V00854: INTERVIEWER CHECKPOINT,V00854,-,D20,DP20
V00855: Sleep/energy/appetite/concentration problems,V00855,D21,D21,DP21
V00856: Apparent worst episode combining most # of other problems,V00856,D22,D22,DP22
V00857: Age worst episode began,V00857,D22A,D22A,DP22A
V00858: Length of worst episode,V00858,D22B,D22B,DP22B
"V00859: Unit of time of worst episode, D22B",V00859,D22B1,D22B1,DP22B1
V00860: Age of last bad sadness/depressed episode,V00860,D22C,D22C,DP22C
V00861: Length of last bad sadness/depressed episode,V00861,D22D,D22D,DP22D
"V00862: Time unit last sadness/depressed episode,D22D",V00862,D22D1,D22D1,DP22DP1
V00863: Severe dep episode-felt depressed most days,V00863,D24A,D24A,DP24A
V00864: Severe dep episode-nothing could cheer you most days,V00864,D24B,D24B,DP24B
V00865: Sev dep episode-discouraged about things in life most days,V00865,D24C,D24C,DP24C
V00866: Severe dep episode-felt hopeless about future most days,V00866,D24D,D24D,DP24D
V00867: Severe dep episode-lost int in things you used to think fun,V00867,D24E,D24E,DP24E
V00868: Sev dep episode-nothing fun though good things happening,V00868,D24F,D24F,DP24F
V00869: INTERVIEWER CHECKPOINT,V00869,-,D25,DP25
V00871: Severe dep episode-small appetite most days,V00871,D26A,D26A,DP26A
V00873: Severe dep episode-larger appetite than usual most days,V00873,D26B,D26B,DP26B
V00875: Severe dep episode-gained weight without trying,V00875,D26C,D26C,DP26C
V00877: Severe dep episode-weight gain in lbs,V00877,D26D,-,DP26D
V00878: How much weight gain during severe dep episode,V00878,-,D26D,-
V00879: Unit of mass of weight gain during sev dep episode,V00879,-,D26DA,-
V00881: Severe dep episode-lost weight without trying,V00881,D26E,D26E,DP26E
V00884: Worst dep episode-amt of weight loss,V00884,D26F,-,DP26F
V00883: Severe dep episode-weight loss in lbs,V00883,-,D26F,-
V00885: Unit of mass of weight loss,V00885,-,D26FA,-
V00887: Severe dep episode-trouble sleeping most nights,V00887,D26G,D26G,DP26G
V00889: Severe dep episode-slept more than usual most nights,V00889,D26H,D26H,DP26H
V00891: Severe dep episode-slept much less but not tired,V00891,D26I,D26I,DP26I
V00893: Severe dep episode-low energy and tired w/out work most days,V00893,D26J,D26J,DP26J
V00894: Severe dep episode-more energy than usual most days,V00894,D26K,D26K,DP26K
V00895: Severe dep episode-talk/move more slowly than usual most days,V00895,D26L,D26L,DP26L
V00896: Severe dep episode-others notice talk/move more slowly,V00896,D26M,D26M,DP26M
V00897: Severe dep episode-so restless couldn't sit still or paced,V00897,D26N,D26N,DP26N
V00898: Severe dep episode-others notice restlessness,V00898,D26O,D26O,DP26O
V00899: Severe dep episode-slow or mixed up thoughts most days,V00899,D26P,D26P,DP26P
V00900: Severe dep episode-jumping or racing thoughts hard to track,V00900,D26Q,D26Q,DP26Q
V00901: Severe dep episode-more trouble concentrating most days,V00901,D26R,D26R,DP26R
V00902: Severe dep episode-unusual indecisiveness,V00902,D26S,D26S,DP26S
V00903: Severe dep episode-lost self confidence,V00903,D26T,D26T,DP26T
V00904: Severe dep episode-felt not as good as others most days,V00904,D26U,D26U,DP26U
