Worries and Unhappiness,CPES,NCSR,NLAAS,NSAL
V05034: Things worry about most:1st mention,V05034,WU101,-,-
V05038: Things worry about most:2nd mention,V05038,WU102,-,-
V05039: Things worry about most:3rd mention,V05039,WU103,-,-
V05040: Things worry about most:4th mention,V05040,WU104,-,-
V05041: Things worry about most:5th mention,V05041,WU105,-,-
V05042: Things worry about most:6th mention,V05042,WU106,-,-
V05043: Things worry about most:7th mention,V05043,WU107,-,-
V05044: Things worry about most:8th mention,V05044,WU108,-,-
V05045: Things worry about most:9th mention,V05045,WU109,-,-
V05035: Things worry about most:10th mention,V05035,WU110,-,-
V05036: Things worry about most:11th mention,V05036,WU111,-,-
V05046: Extent to which you worry about such things?,V05046,WU2,-,-
V05047: Things not too happy about:1st mention,V05047,WU301,-,-
V05051: Things not too happy about:2nd mention,V05051,WU302,-,-
V05052: Things not too happy about:3rd mention,V05052,WU303,-,-
V05053: Things not too happy about:4th mention,V05053,WU304,-,-
V05054: Things not too happy about:5th mention,V05054,WU305,-,-
V05055: Things not too happy about:6th mention,V05055,WU306,-,-
V05056: Things not too happy about:7th mention,V05056,WU307,-,-
V05057: Things not too happy about:8th mention,V05057,WU308,-,-
V05058: Things not too happy about:9th mention,V05058,WU309,-,-
V05048: Things not too happy about:10th mention,V05048,WU310,-,-
"V05059: All together, extent of happiness these days",V05059,WU4,-,-
"V05060: Compare with others, extent to which bad things happen",V05060,WU5,-,-
V05061: Find it hard to handle when bad things happen,V05061,WU6,-,-
V05062: Extent to which hard to handle bad things,V05062,WU6A,-,-
V05063: Last time that was hard to handle bad things,V05063,WU6B,-,-
"V05064: Unit of time hard to handle bad things, WU6B",V05064,WU6C,-,-
