Constructed Demographic Variables,CPES,NCSR,NLAAS,NSAL
SECLUSTR: SAMPLING ERROR CLUSTER,SECLUSTR,SECLUSTR,SECLUSTR,SECLUSTR
SESTRAT: SAMPLING ERROR STRATUM,SESTRAT,SESTRAT,SESTRAT,SESTRAT
RANCEST: Race/Ancestry,RANCEST,RANCEST,RANCEST,RANCEST
V08930: Census 2001 income-to-needs ratio: hhinc/povthre,V08930,POVINDEX,POVINDEX,POVINDEX
V08929: R interviewed post September 11 2001,V08929,POST911,POST911,POST911
V08812: WHODAS self-care score,V08812,NEWCARESCORE,CARESCORE,NEWCARESCORE
V08813: WHODAS cognitive score,V08813,NEWCOGSCORE,COGSCORE,NEWCOGSCORE
V08814: WHODAS mobility score,V08814,NEWMOVESCORE,MOVESCORE,NEWMOVESCORE
V08816: WHODAS role impairment score,V08816,NEWROLEIMPSCORE,-,NEWROLEIMPSCORE
V08818: WHODAS social interaction score,V08818,NEWSOCIALSCORE,SOCIALSCORE,NEWSOCIALSCORE
V08815: WHODAS time out of role score,V08815,NEWOUTROLESCORE,OUTROLESCORE,NEWOUTROLESCORE
V08992: Region of country,V08992,REGION,REGION,REGION
V08823: Obesity-recode of BMI,V08823,OBESE6CAT,OBESE6CAT,OBESE6CAT
V08825: Occupation-Bureau Labor Stats-28 MOGs: Recoded,V08825,OCC28MOG,OCC28MOG,OCC28MOG
V09036: Sex,V09036,SEX,SEX,SEX
V07306: Age,V07306,AGE,AGE,AGE
V08683: Household Income : Topcode,V08683,HHINC,HHINC,HHINC
V08172: Years of education-4 categories,V08172,ED4CAT,ED4CAT,ED4CAT
V08759: Marital Status-3 categories,V08759,MAR3CAT,MAR3CAT,MAR3CAT
V09154: Work Status 3 categories,V09154,WKSTAT3C,WORKSTATUS,WKSTAT3C
V06728: Total height-inches,V06728,HEIGHT,HEIGHT,C16B
V00229: Weight in pounds,V00229,WEIGHT,WEIGHT,C15
V07477: Number of children in HH,V07477,CHILDREN,CHILDREN,CHILDREN
V07292: Number of Adolescents 13-17 in HH,V07292,ADOL,ADOL,ADOL
V07297: Number of Adults in HH,V07297,ADULT,ADULT,ADULT
V08249: Total number of HH members,V08249,HHSIZE,HHSIZE,HHSIZE
V09218: Age at Immigration 5 categories,V09218,-,AGEIMMG5CAT,AGEIMMG5CAT
V09220: Caribbean Ethnic Origins 5 categories,V09220,-,-,CAR5CAT
V09346: Number of Years in US 5 categories,V09346,-,YRSINUSA5CAT,YRSINUSA5CAT
V09435: Primary/Secondary adult in household,V09435,PS_FLAG,-,-
