DX Alcohol Dependence,CPES,NCSR,NLAAS,NSAL
V08312: ICD Alcohol Dependence (30 day),V08312,I_ALD30,I_ALD30,I_ALD30
V08311: ICD Alcohol Dependence (12 month),V08311,I_ALD12,I_ALD12,I_ALD12
V08515: ICD Alcohol Dependence (Lifetime),V08515,ICD_ALD,ICD_ALD,ICD_ALD
V07342: ICD Alcohol Dependence Onset,V07342,ALD_ONI,ALD_ONI,ALD_ONI
V07345: ICD Alcohol Dependence Recency,V07345,ALD_RECI,ALD_RECI,ALD_RECI
V07522: DSM-IV Alcohol Dependence (30 day),V07522,D_ALD30,D_ALD30,D_ALD30
V07521: DSM-IV Alcohol Dependence (12 month),V07521,D_ALD12,D_ALD12,D_ALD12
V07833: DSM-IV Alcohol Dependence (Lifetime),V07833,DSM_ALD,DSM_ALD,DSM_ALD
V07341: DSM-IV Alcohol Dependence Onset,V07341,ALD_OND,ALD_OND,ALD_OND
V07343: DSM-IV Alcohol Dependence Recency,V07343,ALD_RECD,ALD_RECD,ALD_RECD
