DX Dysthymia,CPES,NCSR,NLAAS,NSAL
V08360: ICD Dysthymia (30 day),V08360,I_DYS30,I_DYS30,I_DYS30
V08359: ICD Dysthymia (12 month),V08359,I_DYS12,I_DYS12,I_DYS12
V08526: ICD Dysthymia (Lifetime),V08526,ICD_DYS,ICD_DYS,ICD_DYS
V08158: ICD Dysthymia Onset,V08158,DYS_ONI,DYS_ONI,DYS_ONI
V08163: ICD Dysthymia Recency,V08163,DYS_RECI,DYS_RECI,DYS_RECI
V08373: ICD Dysthymia with hierarchy (30 day),V08373,I_DYSH30,I_DYSH30,I_DYSH30
V08372: ICD Dysthymia with hierarchy (12 month),V08372,I_DYSH12,I_DYSH12,I_DYSH12
V08527: ICD Dysthymia w/ hierarchy (Lifetime),V08527,ICD_DYSH,ICD_DYSH,ICD_DYSH
V07604: DSM-IV Dysthymia (30 day),V07604,D_DYS30,D_DYS30,D_DYS30
V07603: DSM-IV Dysthymia (12 month),V07603,D_DYS12,D_DYS12,D_DYS12
V07856: DSM-IV Dysthymia (Lifetime),V07856,DSM_DYS,DSM_DYS,DSM_DYS
V08156: DSM-IV Dysthymia Onset,V08156,DYS_OND,DYS_OND,DYS_OND
V08161: DSM-IV Dysthymia Recency,V08161,DYS_RECD,DYS_RECD,DYS_RECD
V07612: DSM-IV Dysthymia with hierarchy (30 day),V07612,D_DYSH30,D_DYSH30,D_DYSH30
V07611: DSM-IV Dysthymia w/hierarchy (12 month),V07611,D_DYSH12,D_DYSH12,D_DYSH12
V07857: DSM-IV Dysthymia with hierarchy (LifeT),V07857,DSM_DYSH,DSM_DYSH,DSM_DYSH
