DX Social Phobia,CPES,NCSR,NLAAS,NSAL
V08501: ICD Social Phobia (30 day),V08501,I_SO30,I_SO30,I_SO30
V08500: ICD Social Phobia (12 month),V08500,I_SO12,I_SO12,I_SO12
V08553: ICD Social Phobia (Lifetime),V08553,ICD_SO,ICD_SO,ICD_SO
V09045: ICD Social Phobia Onset,V09045,SO_ONI,SO_ONI,SO_ONI
V09048: ICD Social Phobia Recency,V09048,SO_RECI,SO_RECI,SO_RECI
V07750: DSM-IV Social Phobia (30 day),V07750,D_SO30,D_SO30,D_SO30
V07748: DSM-IV Social Phobia (12 month),V07748,D_SO12,D_SO12,D_SO12
V07899: DSM-IV Social Phobia (Lifetime),V07899,DSM_SO,DSM_SO,DSM_SO
V09043: DSM-IV Social Phobia Onset,V09043,SO_OND,SO_OND,SO_OND
V09046: DSM-IV Social Phobia Recency,V09046,SO_RECD,SO_RECD,SO_RECD
