Technology and Roots,CPES,NCSR,NLAAS,NSAL
V07214: Have home computer,V07214,-,-,J1A
V07215: Have e-mail access,V07215,-,-,J1B
V07216: Have internet access,V07216,-,-,J1C
V07217: How often use internet/e-mail,V07217,-,-,J2
V07218: Where use internet/e-mail-1st mention,V07218,-,-,J31
V07219: Where use internet/e-mail-2nd mention,V07219,-,-,J32
V07220: Where use internet/e-mail-3rd mention,V07220,-,-,J33
V07221: Where use internet/e-mail-4th mention,V07221,-,-,J34
V07222: You/family traced family roots,V07222,-,-,J4
V07223: # brothers while growing up,V07223,-,-,J5A
V07225: # sisters while growing up,V07225,-,-,J5B
V07226: # living great-grandparents,V07226,-,-,J6A
V07227: # living grandparents,V07227,-,-,J6B
V07228: # living parents,V07228,-,-,J6C
V07229: # kids 13 or older,V07229,-,-,J6D
V07230: # grandchildren 13 or older,V07230,-,-,J6E
V07231: # great-grandchildren,V07231,-,-,J6F
V07232: Mom or dad alive,V07232,-,-,J8
V07233: At least one parent alive,V07233,-,-,J9
V07234: INTERVIEWER CHECKPOINT,V07234,-,-,J10
