Chronic Conditions,CPES,NCSR,NLAAS,NSAL
V04044: Ever had arthritis/rheumatism,V04044,CC1A,CC1A,-
V04045: Ever had chronic back/neck problems,V04045,CC1B,CC1B,-
V04046: Ever had frequent or severe headaches,V04046,CC1C,CC1C,-
V04047: Ever had any other chronic pain,V04047,CC1D,CC1D,-
V04048: Ever had seasonal allergies like hay fever,V04048,CC1E,CC1E,-
V04049: Ever had stroke,V04049,CC1F,CC1F,-
V04050: Ever had heart disease,V04050,CC1G,CC1G,-
V04051: Doctor or health professional told have heart,V04051,CC1H,CC1H,-
V04052: Doctor or health professional told high blood pressure,V04052,CC1I,CC1I,-
V04053: Doctor or health professional told have asthma,V04053,CC1J,CC1J,-
V04055: Doctor/health professional told had chronic lung disease,V04055,CC1L,CC1L,-
V04056: Doctor/health professional told have diabetes/high blood sugar,V04056,CC1N,CC1N,-
V04057: Doctor or health professional told have ulcer in stomach/intest,V04057,CC1O,CC1O,-
V04059: Doctor or health professional told have epilepsy,V04059,CC1S,CC1S,-
V04060: Doctor or professional told have cancer,V04060,CC1T,CC1T,-
V04061: Age 1st had arthritis/rhumatism,V04061,CC3A,CC3A,-
V04062: Age 1st had back/neck problems,V04062,CC3B,CC3B,-
V04063: Age 1st had frequent /severe headache,V04063,CC3C,CC3C,-
V04064: Age 1st had any other chronic pain,V04064,CC3D,CC3D,-
V04065: Age 1st had seasonal allergies,V04065,CC3E,CC3E,-
V04066: Age 1st had stroke,V04066,CC3F,CC3F,-
V04067: Age 1st had heart attack,V04067,CC3G,CC3G,-
V04068: Age 1st diagnosed with heart disease,V04068,CC3H,CC3H,-
V04069: Age 1st diagnosed with high blood pressure,V04069,CC3I,CC3I,-
V04070: Age 1st diagnosed with asthma,V04070,CC3J,CC3J,-
V04072: Age 1st diagnosed with chronic lung disease,V04072,CC3L,CC3L,-
V04073: Age 1st diagnosed with diabetes/high blood sugar,V04073,CC3N,CC3N,-
V04074: Age 1st diagnosed with ulcer,V04074,CC3O,CC3O,-
V04076: Age 1st diagnosed with epilepsy/seizures,V04076,CC3S,CC3S,-
V04077: Age 1st diagnosed with cancer,V04077,CC3T,CC3T,-
V04078: Still have back/neck problems or receive treatment in past yr,V04078,CC4B,-,-
V04079: 12 months still have back/neck problems,V04079,-,CC4B,-
V04081: Still have severe headache or received treatment,V04081,CC4C,-,-
V04080: Frequent or sever headaches in past 12 months,V04080,-,CC4C,-
V04083: Still have Chronic Pain or received treatment pa,V04083,CC4D,-,-
V04082: Still have other chronic pain in past 12 months,V04082,-,CC4D,-
V04085: Still have season allergies or received treatmen,V04085,CC4E,-,-
V04084: Still have seasonal allergies in past 12 months,V04084,-,CC4E,-
V04086: Still have high blood pressure or receive treatm,V04086,CC4I,-,-
V04087: 12 months rec treatment high blood pressure,V04087,-,CC4I,-
V04090: Still have diabete/blood pressure or got treatme,V04090,CC4N,-,-
V04091: Still have diabetes or got treatment in past 12 months,V04091,-,CC4N,-
V04303: Still have ulcer or received treatment in past 12 months,V04303,CC4O,-,-
V04304: 12 months still have ulcer,V04304,-,CC4O,-
V04092: Received treatment for back/neck problems in past 12 months,V04092,-,CC5B,-
V04093: Received treatment for severe headache in past 12 months,V04093,-,CC5C,-
V04094: Received treatment for other chronic pain in past 12 months,V04094,-,CC5D,-
V04095: Received treatment for seasonal allergies in past 12 months,V04095,-,CC5E,-
V04096: Received treatment for high blood pressure in past 12 months,V04096,-,CC5I,-
V04098: Received treatment for diabetes in past 12 months,V04098,-,CC5N,-
V04099: Received treatment for ulcer in past 12 months,V04099,-,CC5O,-
V04100: Currently in treatment for cancer/in remission/been cured,V04100,CC6,CC6,-
V04101: In past yr-had accident/injury/posioning required medical atten,V04101,CC6_1,CC6_1,-
V04102: # of accidents/injuries/poison needed medical atten in past yr,V04102,CC6_1A,-,-
V04103: Most recent real accident/did on purpose/result of fight,V04103,CC6_1B,-,-
V04104: Most recent at work/work related travel/or elsewhere,V04104,CC6_1C,-,-
V04105: Condition on list resulting from injury:1st mention,V04105,CC6_21,-,-
V04106: Condition on list resulting from injury:2nd mention,V04106,CC6_22,-,-
V04107: Condition on list resulting from injury:3rd mention,V04107,CC6_23,-,-
V04108: Condition on list resulting from injury:4th mention,V04108,CC6_24,-,-
V04109: Condition on list resulting from injury:5th mention,V04109,CC6_25,-,-
V04110: Condition on list resulting from injury:6th mention,V04110,CC6_26,-,-
V04114: Where did injury occur - 1st mention,V04114,CC6_301,-,-
V04116: Where did injury occur - 2nd mention,V04116,CC6_302,-,-
V04117: Where did injury occur - 3rd mention,V04117,CC6_303,-,-
V04124: Where cancer located:1st mention,V04124,CC6A01,-,-
V04126: Where cancer located:2nd mention,V04126,CC6A02,-,-
V04127: Where cancer located:3rd mention,V04127,CC6A03,-,-
V04128: Where cancer located:4th mention,V04128,CC6A04,-,-
V04134: INTERVIEWER CHECKPOINT (REFERENCE CARD),V04134,-,CC7,-
V04136: 1 to continue,V04136,-,CC8A,-
V04137: # times see doctor or other prof for treatment of condition,V04137,CC9,CC9,-
V04138: Frequency of treatment for condition,V04138,-,CC9_1,-
V04139: INTERVIEWER CHECKPOINT,V04139,-,CC9A,-
V04140: Extent to which condition interfered with home management,V04140,CC10A,CC10A,-
V04141: Extent to which condition interfered with ability to work,V04141,CC10B,CC10B,-
V04142: Extent to which condition interfered w/ form/maintain relations,V04142,CC10C,CC10C,-
V04143: The extent to which the condition interfered with social life,V04143,CC10D,CC10D,-
V04144: INTERVIEWER CHECKPOINT (CC10a-CC10d),V04144,-,CC11,-
V04145: # of day out 365 could not work/normall acts due to condition,V04145,CC12,CC12,-
V04146: INTRO C13 - condition interfered with life,V04146,-,CC13,-
V04147: Interfered with life - stomach pain,V04147,-,CC13B,-
V04148: Interfered with life - diarrhea/constipation,V04148,-,CC13C,-
V04149: Interfered with life - severe pain in arms/legs/joints,V04149,-,CC13D,-
V04150: Interfered with life - severe chest pain,V04150,-,CC13E,-
V04151: Interfered with life - heart race or pound,V04151,-,CC13F,-
V04152: Interfered with life - shortness of breath/trouble breathing,V04152,-,CC13G,-
V04153: Interfered with life - severe back pain,V04153,-,CC13H,-
V04154: Interfered with life - nausea/gas/indigestion,V04154,-,CC13I,-
V04155: Ever had severe menstrual pain/problems,V04155,-,CC13J,-
V04156: Ever had severe pain/problems during sex,V04156,-,CC13K,-
V04157: Ever had frequent/severe dizziness,V04157,-,CC13L,-
V04158: Ever had frequent/severe fainting spells,V04158,-,CC13M,-
V04159: Ever had frequent trouble swallowing/lump in throat,V04159,-,CC13N,-
V04160: Ever had severe numbness/tingling,V04160,-,CC13O,-
V04161: # of days had headache in past year,V04161,CC14,-,-
