Mania,CPES,NCSR,NLAAS,NSAL
V01038: Behavioral changes during episode of excitement,V01038,M1,-,M1
V01039: One episode where large # behavior changes stand out,V01039,M3,-,M3
V01040: Age at episode where large # behavior changes stand out,V01040,M3A,-,M3A
V01041: Length of episode where large # behavior changes stand out,V01041,M3B1,-,M3B
"V01042: Unit length of excited period, M3B1",V01042,M3B2,-,M3B1
V01043: Age at recent episode where large # behav changes stand out,V01043,M3C,-,M3C
V01044: Length recent episode where large # behav changes stand out,V01044,M3D1,-,M3D
V01045: Unit length of recent episode w/ large # behavior changes,V01045,M3D2,-,M3D1
"V01046: During recent episode, so grouchy started argue/shout/hit",V01046,M4,-,M4
V01047: Behavioral changes during irritable episode,V01047,M5,-,M5
"V01048: While irritable, one episode with large # behav changes",V01048,M6,-,M6
V01049: Age at irritable period with most behavioral changes,V01049,M6A,-,M6A
V01050: Length irritable period with most behav changes,V01050,M6B1,-,M6B
V01051: Unit of time of irritable period with most behav changes,V01051,M6B2,-,M6B1
V01052: Age most recent irritable period with most behav changes,V01052,M6C,-,M6C
V01053: Length most recent irritable period with most behav changes,V01053,M6D1,-,M6D
"V01054: Unit of time of irritable period w/ most behav changes, M6D1",V01054,M6D2,-,M6D1
"V01055: Irritable episode-so restless, couldn't sit still or paced",V01055,M7A,-,M7A
V01056: Irritable episode-more int in sex than usual/diff partners,V01056,M7B,-,M7B
V01057: Irritable episode-overly friendly with people,V01057,M7C,-,M7C
V01058: Irritable episode-inappropriate behavior,V01058,M7D,-,M7D
V01059: Irritable episode-take on impossible tasks/lg amts of work,V01059,M7E,-,M7E
V01060: Irritable episode-talked more than usual,V01060,M7F,-,M7F
V01061: Irritable episode-constantly change plans/activities,V01061,M7G,-,M7G
V01063: Episode hard keep mind things,V01063,M7H,-,-
V01062: Irritable episode-hard to keep mind on task,V01062,-,-,M7H
V01064: Irritable episode-thoughts jumping/racing unable to keep track,V01064,M7I,-,M7I
V01065: Irritable episode-sleep less than usual but not tired,V01065,M7J,-,M7J
V01066: Irritable episode-involved in foolish investments/money making,V01066,M7K,-,M7K
V01067: Irritable episode-financial trouble due to spending too much,V01067,M7L,-,M7L
V01068: Irritable episode-seeking pleasure doing risky things,V01068,M7M,-,-
V01069: Risky acts in excite/grchy period,V01069,-,-,M7M
V01070: Irritable episode-exaggerated sense of self-confidence,V01070,M7N,-,M7N
V01071: Irritable episode-identity problems or false connection to celeb,V01071,M7O,-,M7O
V01072: INTERVIEWER CHECKPOINT,V01072,-,-,M8
V01073: Episode + problems affected work/social/relations,V01073,M9,-,-
V01074: Probs interfere work/relations,V01074,-,-,M9
V01075: Unable do normal activities due to episode + problems,V01075,M9A,-,M9A
V01077: Others say anything or worry about actions,V01077,M9B,-,M9B
V01078: Excite/grouchy episode result of phys cause or drug/alcohol,V01078,M10A,-,M10A
V01079: All excite/grouchy episodes result of physical cause,V01079,M10B,-,M10B
