Pharmacoepidemiology,CPES,NCSR,NLAAS,NSAL
V02530: Medication names:1st mention,V02530,MEDICATION,MEDICATI,-
V02541: Medication names:2nd mention,V02541,MEDICATION2,MEDICAT2,-
V02543: Medication names:3rd mention,V02543,MEDICATION3,MEDICAT3,-
V02544: Medication names:4th mention,V02544,MEDICATION4,MEDICAT4,-
V02545: Medication names:5th mention,V02545,MEDICATION5,MEDICAT5,-
V02546: Medication names:6th mention,V02546,MEDICATION6,MEDICAT6,-
V02547: Medication names:7th mention,V02547,MEDICATION7,MEDICAT7,-
V02548: Medication names:8th mention,V02548,MEDICATION8,MEDICAT8,-
V02549: Medication names:9th mention,V02549,MEDICATION9,MEDICAT9,-
V02531: Medication names:10th mention,V02531,MEDICATION10,MEDICA10,-
V02532: Medication names:11th mention,V02532,MEDICATION11,MEDICA11,-
V02533: Medication names:12th mention,V02533,MEDICATION12,MEDICA12,-
V02534: Medication names:13th mention,V02534,MEDICATION13,MEDICA13,-
V02535: Medication names:14th mention,V02535,MEDICATION14,MEDICA14,-
V02536: Medication names:15th mention,V02536,MEDICATION15,MEDICA15,-
V02537: Medication names:16th mention,V02537,MEDICATION16,-,-
V02538: Medication names:17th mention,V02538,MEDICATION17,-,-
V02509: Medication ID #:1st mention,V02509,ID,ID,ID
V02520: Medication ID #:2nd mention,V02520,ID2,ID2,ID2
V02522: Medication ID #:3rd mention,V02522,ID3,ID3,ID3
V02523: Medication ID #:4th mention,V02523,ID4,ID4,ID4
V02524: Medication ID #:5th mention,V02524,ID5,ID5,ID5
V02525: Medication ID #:6th mention,V02525,ID6,ID6,ID6
V02526: Medication ID #:7th mention,V02526,ID7,ID7,ID7
V02527: Medication ID #:8th mention,V02527,ID8,ID8,ID8
V02528: Medication ID #:9th mention,V02528,ID9,ID9,ID9
V02510: Medication ID #:10th mention,V02510,ID10,ID10,ID10
V02511: Medication ID #:11th mention,V02511,ID11,ID11,ID11
V02512: Medication ID #:12th mention,V02512,ID12,ID12,ID12
V02513: Medication ID #:13th mention,V02513,ID13,ID13,ID13
V02514: Medication ID #:14th mention,V02514,ID14,ID14,ID14
V02515: Medication ID #:15th mention,V02515,ID15,ID15,ID15
V02516: Medication ID #:16th mention,V02516,ID16,-,-
V02517: Medication ID #:17th mention,V02517,ID17,-,-
V02628: BLPHARMACO.PH2COUNT,V02628,-,PH2COUNT,-
V02632: Med1-# days taken in past month,V02632,PH5_01,PH5_01,PH5_01
V02633: Med1-# days taken in past year,V02633,PH5_02,PH5_02,PH5_02
V02635: Med1-day took for the first time in the past yr,V02635,PH5_03B,PH5_03B,PH5_03B
V02637: Med1-estimate of day took most recently,V02637,PH5_04B,PH5_04B,PH5_04B
V02638: Med1-amount taken on medicated days,V02638,PH5_05A,PH5_05A,PH5_05A
V02639: Med1-method of dosage,V02639,PH5_05B,PH5_05B,PH5_05B
V02640: Med1-milligrams of dosage,V02640,PH5_06,PH5_06,PH5_06
V02642: Med2-# days taken in past month,V02642,PH6_01,PH6_01,PH6_01
V02643: Med2-# days taken in past year,V02643,PH6_02,PH6_02,PH6_02
V02645: Med2-day took for the first time in the past yr,V02645,PH6_03B,PH6_03B,PH6_03B
V02647: Med2-estimate of day took most recently,V02647,PH6_04B,PH6_04B,PH6_04B
V02648: Med2-amount taken on medicated days,V02648,PH6_05A,PH6_05A,PH6_05A
V02649: Med2-method of dosage,V02649,PH6_05B,PH6_05B,PH6_05B
V02650: Med2-milligrams of dosage,V02650,PH6_06,PH6_06,PH6_06
V02651: Med3-# days taken in past month,V02651,PH7_01,PH7_01,PH7_01
V02652: Med3-# days taken in past year,V02652,PH7_02,PH7_02,PH7_02
V02654: Med3-day took for the first time in the past yr,V02654,PH7_03B,PH7_03B,PH7_03B
V02656: Med3-estimate of day took most recently,V02656,PH7_04B,PH7_04B,PH7_04B
V02657: Med3-amount taken on medicated days,V02657,PH7_05A,PH7_05A,PH7_05A
V02658: Med3-method of dosage,V02658,PH7_05B,PH7_05B,PH7_05B
V02659: Med3-milligrams of dosage,V02659,PH7_06,PH7_06,PH7_06
V02660: Med4-# days taken in past month,V02660,PH8_01,PH8_01,PH8_01
V02661: Med4-# days taken in past year,V02661,PH8_02,PH8_02,PH8_02
V02663: Med4-day took for the first time in the past yr,V02663,PH8_03B,PH8_03B,PH8_03B
V02665: Med4-estimate of day took most recently,V02665,PH8_04B,PH8_04B,PH8_04B
V02666: Med4-amount taken on medicated days,V02666,PH8_05A,PH8_05A,PH8_05A
V02667: Med4-method of dosage,V02667,PH8_05B,PH8_05B,PH8_05B
V02668: Med4-milligrams of dosage,V02668,PH8_06,PH8_06,PH8_06
V02669: Med5-# days taken in past month,V02669,PH9_01,PH9_01,PH9_01
V02670: Med5-# days taken in past year,V02670,PH9_02,PH9_02,PH9_02
V02672: Med5-day took for the first time in the past yr,V02672,PH9_03B,PH9_03B,PH9_03B
V02674: Med5-estimate of day took most recently,V02674,PH9_04B,PH9_04B,PH9_04B
V02675: Med5-amount taken on medicated days,V02675,PH9_05A,PH9_05A,PH9_05A
V02676: Med5-method of dosage,V02676,PH9_05B,PH9_05B,PH9_05B
V02677: Med5-milligrams of dosage,V02677,PH9_06,PH9_06,PH9_06
V02678: Med6-# days taken in past month,V02678,PH10_01,PH10_01,PH10_01
V02679: Med6-# days taken in past year,V02679,PH10_02,PH10_02,PH10_02
V02681: Med6-day took for the first time in the past yr,V02681,PH10_03B,PH10_03B,PH10_03B
V02683: Med6-estimate of day took most recently,V02683,PH10_04B,PH10_04B,PH10_04B
V02684: Med6-amount taken on medicated days,V02684,PH10_05A,PH10_05A,PH10_05A
V02685: Med6-method of dosage,V02685,PH10_05B,PH10_05B,PH10_05B
V02686: Med6-milligrams of dosage,V02686,PH10_06,PH10_06,PH10_06
V02687: Med7-# days taken in past month,V02687,PH11_01,PH11_01,PH11_01
V02688: Med7-# days taken in past year,V02688,PH11_02,PH11_02,PH11_02
V02690: Med7-day took for the first time in the past yr,V02690,PH11_03B,PH11_03B,PH11_03B
V02692: Med7-estimate of day took most recently,V02692,PH11_04B,PH11_04B,PH11_04B
V02693: Med7-amount taken on medicated days,V02693,PH11_05A,PH11_05A,PH11_05A
V02694: Med7-method of dosage,V02694,PH11_05B,PH11_05B,PH11_05B
V02695: Med7-milligrams of dosage,V02695,PH11_06,PH11_06,PH11_06
V02696: Med8-# days taken in past month,V02696,PH12_01,PH12_01,PH12_01
V02697: Med8-# days taken in past year,V02697,PH12_02,PH12_02,PH12_02
V02699: Med8-day took for the first time in the past yr,V02699,PH12_03B,PH12_03B,PH12_03B
V02701: Med8-estimate of day took most recently,V02701,PH12_04B,PH12_04B,PH12_04B
V02702: Med8-amount taken on medicated days,V02702,PH12_05A,PH12_05A,PH12_05A
V02703: Med8-method of dosage,V02703,PH12_05B,PH12_05B,PH12_05B
V02704: Med8-milligrams of dosage,V02704,PH12_06,PH12_06,PH12_06
V02705: Med9-# days taken in past month,V02705,PH13_01,PH13_01,PH13_01
V02706: Med9-# days taken in past year,V02706,PH13_02,PH13_02,PH13_02
V02708: Med9-day took for the first time in the past yr,V02708,PH13_03B,PH13_03B,PH13_03B
V02710: Med9-estimate of day took most recently,V02710,PH13_04B,PH13_04B,PH13_04B
V02711: Med9-amount taken on medicated days,V02711,PH13_05A,PH13_05A,PH13_05A
V02712: Med9-method of dosage,V02712,PH13_05B,PH13_05B,PH13_05B
V02713: Med9-milligrams of dosage,V02713,PH13_06,PH13_06,PH13_06
V02714: Med10-# days taken in past month,V02714,PH14_01,PH14_01,PH14_01
V02715: Med10-# days taken in past year,V02715,PH14_02,PH14_02,PH14_02
V02717: Med10-day took for the first time in the past yr,V02717,PH14_03B,PH14_03B,PH14_03B
V02719: Med10-estimate of day took most recently,V02719,PH14_04B,PH14_04B,PH14_04B
V02720: Med10-amount taken on medicated days,V02720,PH14_05A,PH14_05A,PH14_05A
V02721: Med10-method of dosage,V02721,PH14_05B,PH14_05B,PH14_05B
V02722: Med10-milligrams of dosage,V02722,PH14_06,PH14_06,PH14_06
V02756: Med11-# days taken in past month,V02756,PH15_01,PH15_01,PH15_01
V02757: Med11-# days taken in past year,V02757,PH15_02,PH15_02,PH15_02
V02759: Med11-Day took for the first time in the past yr,V02759,PH15_03B,PH15_03B,PH15_03B
V02761: Med11-estimate of day took most recently,V02761,PH15_04B,PH15_04B,PH15_04B
V02762: Med11-amount taken on medicated days,V02762,PH15_05A,PH15_05A,PH15_05A
V02763: Med11-method of dosage,V02763,PH15_05B,PH15_05B,PH15_05B
V02764: Med11-milligrams of dosage,V02764,PH15_06,PH15_06,-
V02767: Med12-# days taken in past month,V02767,PH16_01,PH16_01,PH16_01
V02768: Med12-# days taken in past year,V02768,PH16_02,PH16_02,PH16_02
V02770: Med12-day took for the first time in the past yr,V02770,PH16_03B,PH16_03B,PH16_03B
V02772: Med12-estimate of day took most recently,V02772,PH16_04B,PH16_04B,PH16_04B
V02773: Med12-amount taken on medicated days,V02773,PH16_05A,PH16_05A,PH16_05A
V02774: Med12-method of dosage,V02774,PH16_05B,PH16_05B,PH16_05B
V02775: Med12-milligrams of dosage,V02775,PH16_06,PH16_06,PH16_06
V02777: Med13-# days taken in past month,V02777,PH17_01,PH17_01,PH17_01
V02778: Med13-# days taken in past year,V02778,PH17_02,PH17_02,PH17_02
V02780: Med13-day took for the first time in the past yr,V02780,PH17_03B,PH17_03B,PH17_03B
V02782: Med13-estimate of day took most recently,V02782,PH17_04B,PH17_04B,PH17_04B
V02783: Med13-amount taken on medicated days,V02783,PH17_05A,PH17_05A,PH17_05A
V02784: Med13-method of dosage,V02784,PH17_05B,PH17_05B,PH17_05B
V02785: Med13-milligrams of dosage,V02785,PH17_06,PH17_06,PH17_06
V02787: Med14-# days taken in past month,V02787,PH18_01,PH18_01,PH18_01
V02788: Med14-# days taken in past year,V02788,PH18_02,PH18_02,PH18_02
V02790: Med14-day took for the first time in the past yr,V02790,PH18_03B,PH18_03B,PH18_03B
V02792: Med14-estimate of day took most recently,V02792,PH18_04B,PH18_04B,PH18_04B
V02793: Med14-amount taken on medicated days,V02793,PH18_05A,PH18_05A,PH18_05A
V02794: Med14-method of dosage,V02794,PH18_05B,PH18_05B,PH18_05B
V02795: Med14-milligrams of dosage,V02795,PH18_06,PH18_06,PH18_06
V02797: Med15-# days taken in past month,V02797,PH19_01,PH19_01,PH19_01
V02798: Med15-# days taken in past year,V02798,PH19_02,PH19_02,PH19_02
V02800: Med15-day took for the first time in the past yr,V02800,PH19_03B,PH19_03B,PH19_03B
V02802: Med15-estimate of day took most recently,V02802,PH19_04B,PH19_04B,PH19_04B
V02803: Med15-amount taken on medicated days,V02803,PH19_05A,PH19_05A,PH19_05A
