Post-Traumatic Stress Disorder,CPES,NCSR,NLAAS,NSAL
"V03585: Age when event, PT55 happened",V03585,PT55C,PT55C,PT55C
"V03586: Duration situation, PT55",V03586,PT55D1,PT55D1,PT55D1
V03587: Unit time PT55D1,V03587,PT55D2,PT55D2,PT55D2
V03590: Age at most upsetting traumatic event not reported,V03590,PT57A1,PT57A1,PT57A1
V03591: INTERVIEWER CHECKPOINT,V03591,-,PT57A1_2,PT57A1_2
V03592: Duration of traumatic event not reported,V03592,PT57A2,PT57A2,PT57A2
V03593: Unit time traumatic event not reported,V03593,PT57A3,PT57A3,PT57A3
V03594: TOTAL EVENT TYPE RECORDED,V03594,PT58A,PT58A,-
V03595: RANDOMLY ASSIGNED EVENT TYPE,V03595,PT58B,PT58B,-
V03596: TOTAL # RANDOM EVENT OCCURED,V03596,PT58C,PT58C,-
V03597: (RANDOM) OCCURRENCE OF RANDOM EVENT,V03597,PT58D,PT58D,-
V03600: Random event occurrence,V03600,-,PT59A2,-
V03601: Age RANDOM EVENT,V03601,PT59B,-,-
V03602: Age at time of random event,V03602,PT59B_5,PT59B_5,-
V03603: INTERVIEWER CHECKPOINT (PT58),V03603,-,PT60,-
V03604: INTERVIEWER CHECKPOINT (PT58),V03604,-,PT61,-
V03605: INTERVIEWER CHECKPOINT,V03605,-,-,PT61
V03606: Post-traumatic stress following single traumatic experience,V03606,-,-,PT62
V03607: Post-traumatic stress for 30+ days after worst traumatic exp,V03607,PT62_1,PT62_1,PT62_1
V03608: Post-traumatic stress following traumatic experiences,V03608,PT62_INTRO2,PT62_INT,PT62A
V03609: Post-traumatic stress-2-3 traumatic exp,V03609,PT62_INTRO3,PT62_IN2,PT62B
V03610: Post-traumatic stress-3+ traumatic exp,V03610,PT62_INTRO4,PT62_IN3,PT62C
V03611: INTERVIEWER CHECKPOINT (R ID#),V03611,-,PT63,-
V03612: INTERVIEWER CHECKPOINT,V03612,-,-,PT63
V03613: INTERVIEWER CHECKPOINT,V03613,-,-,PT63_5
V03614: INTERVIEWER CHECKPOINT,V03614,-,-,PT63_6
V03615: One event more stressful/upsetting than others,V03615,-,-,PT63_7
V03616: Event that led to most problems,V03616,PT64,PT64,PT64
V03617: Age at worst event,V03617,PT64A,PT64A,PT64A
"V03618: INTERVIEWER CHECKPOINT (PT59,PT64)",V03618,-,PT65,-
V03619: RANDOM EVENT: [(RANDOM EVENT)],V03619,-,PT66,-
V03620: During worst event- felt terrified/very frightened,V03620,PT67,PT67,PT67
V03621: During worst event- felt helpless,V03621,PT67A,PT67A,PT67A
V03622: During worst event-felt shock or horrified,V03622,PT67B,PT67B,PT67B
V03623: During worst event-felt numb,V03623,PT67C,PT67C,PT67C
V03624: Tried not to think about worst event in following wks/mths/yrs,V03624,PT68,PT68,PT68
V03625: Purposely avoided reminder of worst event,V03625,PT69,PT69,PT69
V03626: Unable to remember details of worst event,V03626,PT70,PT70,PT70
V03627: Lost interest in enjoyable things after worst event,V03627,PT71,PT71,PT71
V03628: Emotionally distant after worst event,V03628,PT72,PT72,PT72
V03629: Trouble feeling love/happy/warmth to others after worst event,V03629,PT73,PT73,PT73
V03630: No future plan because would be cut short after worst event,V03630,PT74,PT74,PT74
V03631: INTERVIEWER CHECKPOINT(PT68-PT74),V03631,-,PT75,-
V03632: INTERVIEWER CHECKPOINT,V03632,-,-,PT75
V03634: Had repeated unwanted memory of worst event,V03634,PT86,PT86,PT86
V03635: Had repeated unpleasant dreams after worst event,V03635,PT87,PT87,PT87
V03636: Had flashbacks after worst event happening,V03636,PT88,PT88,PT88
V03637: Upset when reminded of worst event,V03637,PT89,PT89,PT89
V03638: Had physical reactions when reminded of worst event,V03638,PT90,PT90,PT90
