Services,CPES,NCSR,NLAAS,NSAL
V02047: INTERVIEWER CHECKPOINT,V02047,-,SR1,-
V02046: INTERVIEWER CHECKPOINT,V02046,-,-,SR1
V02048: Overnight stay in hosp/facility for mental health/drug-alc use,V02048,SR2,SR2,SR2
V02049: # times hospitalized for mental health/substance use,V02049,SR3,SR3,SR3
V02050: INTERVIEWER CHECKPOINT,V02050,-,SR4,SR4
V02051: When overnight stay in hosp/facility for mental health/drug-alc,V02051,SR5A,SR5A,SR5A
V02052: Age hospitalized overnight for mental health/substance use,V02052,SR5B,SR5B,SR5B
V02053: Length hospitalization mental health/substance use,V02053,SR5C,SR5C,SR5C
V02054: Unit time hospitalized mental health/substance use,V02054,SR5D,SR5D,SR5C1
V02055: Unit time hospitalized mental health/substance use,V02055,SR6B,SR6B,SR6A
V02056: Age 1st hospitalized overnight for mental health/sub use,V02056,SR7,SR7,SR7
V02057: Hospitalized for mental health in past 12 mths,V02057,SR8,SR8,SR8
V02058: Age most recent hospitalization for mental health,V02058,SR8A,SR8A,SR8A
V02062: Past year-duration hospitalized mental health,V02062,SR9A,SR9,SR9
V02063: Unit of time hospitalized for mental health in past 12 mths,V02063,SR9B,-,SR9A
V02059: Internet support group/chat room for help w/ emotions/nerves,V02059,SR9_1,SR9_1,SR9_1
V02060: Last time used online support group for help w/ emotions,V02060,SR9_1A,SR9_1A,SR9_1A
V02061: # of times used online support group for emot in past 12 mths,V02061,SR9_1B,SR9_1B,SR9_1B
V02064: Attend self-help group for emotions in lifetime,V02064,SR10,SR10,SR10
V02065: Age 1st self-help group for emotions,V02065,SR10A,SR10A,SR10A
V02066: Last time used self-help group for emotion,V02066,SR10B,SR10B,SR10B
V02067: # times self-help group meetings for emotions in past year,V02067,SR10C,SR10C,SR10C
V02068: Used hotline for problems with emotions/nerves,V02068,SR11,SR11,SR11
V02069: Age 1st used hotline for emotions/nerves,V02069,SR11A,SR11A,SR11A
V02070: Last time used hotline for emotions/nerves,V02070,SR11B,SR11B,SR11B
V02071: # of times used hotline for emotions/nerves in past year,V02071,SR11C,SR11C,SR11C
V02072: Professional psych counsel or therapy for 30 min +,V02072,SR12,SR12,SR12
V02074: Age 1st session of psych counsel/therapy,V02074,SR12A,SR12A,SR12A
V02075: Received meds for emotions/mental health from professional,V02075,SR13,SR13,-
V02076: Ever prescription for emotions,V02076,-,-,SR13
V02077: Age 1st prescription for emotions,V02077,SR13A,SR13A,SR13A
V02078: INTERVIEWER CHECKPOINT,V02078,-,SR14,-
V02079: INTERVIEWER CHECKPOINT,V02079,-,-,SR14
V02080: INTERVIEWER CHECKPOINT,V02080,-,SR15,SR15
V02081: Seen professional for emotions/nerves/sub use in lifetime,V02081,SR16,SR16,SR16
V02083: Talked to professional about mental health:1st mention,V02083,SR1701,-,SR1701
V02090: Talked to professional about mental health:2nd mention,V02090,SR1702,-,SR1702
V02092: Talked to professional about mental health:3rd mention,V02092,SR1703,-,SR1703
V02096: Talked to professional about mental health:4th mention,V02096,SR1704,-,SR1704
V02098: Talked to professional about mental health:5th mention,V02098,SR1705,-,SR1705
V02103: Talked to professional about mental health:6th mention,V02103,SR1706,-,SR1706
V02104: Talked to professional about mental health:7th mention,V02104,SR1707,-,SR1707
V02107: Talked to professional about mental health:8th mention,V02107,SR1708,-,SR1708
V02110: Talked to professional about mental health:9th mention,V02110,SR1709,-,SR1709
V02086: Talked to professional about mental health:10th mention,V02086,SR1710,-,-
V02082: Talked to professional about mental health:1st mention,V02082,-,SR17_01,-
V02089: Talked to professional about mental health:2nd mention,V02089,-,SR17_02,-
V02093: Talked to professional about mental health:3rd mention,V02093,-,SR17_03,-
V02095: Talked to professional about mental health:4th mention,V02095,-,SR17_04,-
V02100: Talked to professional about mental health:5th mention,V02100,-,SR17_05,-
V02102: Talked to professional about mental health:6th mention,V02102,-,SR17_06,-
V02105: Talked to professional about mental health:7th mention,V02105,-,SR17_07,-
V02109: Talked to professional about mental health:8th mention,V02109,-,SR17_08,-
V02112: Talked to professional about mental health:9th mention,V02112,-,SR17_09,-
V02085: Talked to professional about mental health:10th mention,V02085,-,SR17_10,-
V02114: INTERVIEWER CHECKPOINT,V02114,-,-,SR18
V02113: INTERVIEWER CHECKPOINT,V02113,-,SR18,-
V02115: Age 1st talk to psychiatrist about emotion/mental health,V02115,SR19,SR19,SR19
V02116: Last time talk to psychiatrist about emotion/mental health,V02116,SR20,SR20,SR20
V02117: Age last saw psychiatrist,V02117,SR21,SR21,SR21
V02118: # visits to psychiatrist for emotions/sub use past year,V02118,SR22,SR22,SR22
V02119: Average # of mins psychiatrist visits last,V02119,SR22A,SR22A,SR22A
V02120: Satisfaction w/ treatment/serv from psychiatrist past year,V02120,SR23,SR23,SR23
V02121: Amount psychiatrist helped,V02121,SR24,SR24,SR24
