Specific Phobias,CPES,NCSR,NLAAS,NSAL
V01399: Specific group endorsement,V01399,SP1_11,-,-
V09422: How old first time feared some type of animal,V09422,SP3,-,-
V01405: Time when always anxious/upset faced with feared animal,V01405,SP3A,-,-
V01406: Age 1st time feared some type of animal,V01406,SP3A1,-,-
"V01407: Before 1st started school, SP3A1",V01407,SP3A2,-,-
"V01408: Before a teenager, SP3A1",V01408,SP3A3,-,-
V01409: Avoid situation w/ risk to see animal because of fear,V01409,SP3B,-,-
V09423: How old first time avoided some type of animal,V09423,SP3C,-,-
V01410: Age 1st avoided situations to see animals,V01410,SP3C1,-,-
"V01411: Before 1st started school, SP3C1",V01411,SP3C2,-,-
"V01412: Before a teenager, SP3C1",V01412,SP3C3,-,-
V01413: Time when always upset/anx when faced with scary situation,V01413,SP5A,-,-
V09424: How old first time feared storms or still water,V09424,SP5,-,-
V01414: Age 1st time fear of storm or still water,V01414,SP5A1,-,-
"V01415: Before 1st started school, SP5A1",V01415,SP5A2,-,-
"V01416: Before a teenager, SP5A1",V01416,SP5A3,-,-
V01417: Avoid situation being in storm or still water because of fear,V01417,SP5B,-,-
V01418: Age 1st avoid situation like storm or still water,V01418,SP5C1,-,-
V09425: Hold old first time avoided storms or still water,V09425,SP5C,-,-
"V01419: Before 1st started school, SP5C1",V01419,SP5C2,-,-
"V01420: Before a teenager, SP5C1",V01420,SP5C3,-,-
V09426: How old first time feared going to doctor,V09426,SP7,-,-
V01421: Time when always anx/upset seeing doc/inject/blood/injury,V01421,SP7A,-,-
V01422: Age 1st time fear doc/inject/blood/injury experience,V01422,SP7A1,-,-
"V01423: Before 1st started school, SP7A1",V01423,SP7A2,-,-
"V01424: Before a teenager, SP7A1",V01424,SP7A3,-,-
V01425: Ever avoid doc/inject/blood/injury due to fear,V01425,SP7B,-,-
V01426: Age 1st avoid doc/inject/blood/injury,V01426,SP7C1,-,-
V09427: How old first time avoided going to doctor,V09427,SP7C,-,-
"V01427: Before 1st started school, SP7C1",V01427,SP7C2,-,-
"V01428: Before a teenager, SP7C1",V01428,SP7C3,-,-
V01429: Fainted when saw blood,V01429,SP7F,-,-
V01430: Time always upset/anx when faced with closed space,V01430,SP9A,-,-
V09428: How old first time feared closed spaces,V09428,SP9,-,-
V01431: Age 1st time feared closed spaces,V01431,SP9A1,-,-
"V01432: Before 1st started school, SP9A1",V01432,SP9A2,-,-
"V01433: Before a teenager, SP9A1",V01433,SP9A3,-,-
V01434: Avoided closed spaces because of fear,V01434,SP9B,-,-
V01435: Age 1st avoided closed spaces,V01435,SP9C1,-,-
V09429: How old when first avoided closed spaces,V09429,SP9C,-,-
"V01436: Before 1st started school, SP9C1",V01436,SP9C2,-,-
"V01437: Before a teenager, SP9C1",V01437,SP9C3,-,-
