DX Binge Eating Disorder,CPES,NCSR,NLAAS,NSAL
V07546: DSM-IV Binge Any (30Day),V07546,D_BINGEANY30,D_BINGEANY30,D_BINGEANY30
V07545: DSM-IV Binge Any (12Mo),V07545,D_BINGEANY12,D_BINGEANY12,D_BINGEANY12
V07839: DSM-IV Binge Any (Lifetime),V07839,DSM_BINGEANY,DSM_BINGEANY,DSM_BINGEANY
V07401: DSM-IV Binge Any Onset,V07401,BINGEANY_OND,BINGEANY_OND,BINGEANY_OND
V07402: DSM-IV Binge Any Recency,V07402,BINGEANY_RECD,BINGEANY_RECD,BINGEANY_RECD
V07553: DSM-IV Binge Eating Disorder w/ hierarchy (30Day),V07553,D_BINGEH30,D_BINGEH30,D_BINGEH30
V07552: DSM-IV Binge Eating Disorder w/ hierarchy (12Mo),V07552,D_BINGEH12,D_BINGEH12,D_BINGEH12
V07840: DSM-IV Binge Eating Disorder w/ hierarchy (Lifetime),V07840,DSM_BINGEH,DSM_BINGEH,DSM_BINGEH
V07403: DSM-IV Binge Eating Disorder w/ hierarchy Onset,V07403,BINGEH_OND,BINGEH_OND,BINGEH_OND
V07405: DSM-IV Binge Eating Disorder w/ hierarchy Recency,V07405,BINGEH_RECD,BINGEH_RECD,BINGEH_RECD
