DX Drug Abuse,CPES,NCSR,NLAAS,NSAL
V08348: ICD Drug Abuse (30 day),V08348,I_DRA30,I_DRA30,I_DRA30
V08347: ICD Drug Abuse (12 month),V08347,I_DRA12,I_DRA12,I_DRA12
V08523: ICD Drug Abuse (Lifetime),V08523,ICD_DRA,ICD_DRA,ICD_DRA
V07809: ICD Drug Abuse Onset,V07809,DRA_ONI,DRA_ONI,DRA_ONI
V07814: ICD Drug Abuse Recency,V07814,DRA_RECI,DRA_RECI,DRA_RECI
V07591: DSM-IV Drug Abuse (30 day),V07591,D_DRA30,D_DRA30,D_DRA30
V07590: DSM-IV Drug Abuse (12 month),V07590,D_DRA12,D_DRA12,D_DRA12
V07853: DSM-IV Drug Abuse (Lifetime),V07853,DSM_DRA,DSM_DRA,DSM_DRA
V07807: DSM-IV Drug Abuse Onset,V07807,DRA_OND,DRA_OND,DRA_OND
V07812: DSM-IV Drug Abuse Recency,V07812,DRA_RECD,DRA_RECD,DRA_RECD
V07593: DSM-IV Drug Abuse w/ hierarchy (30 day),V07593,D_DRAH30,D_DRAH30,D_DRAH30
V07592: DSM-IV Drug Abuse w/ hierarchy (12 month),V07592,D_DRAH12,D_DRAH12,D_DRAH12
