DX Drug Dependence,CPES,NCSR,NLAAS,NSAL
V08352: ICD Drug Dependence (30 day),V08352,I_DRD30,I_DRD30,I_DRD30
V08351: ICD Drug Dependence (12 month),V08351,I_DRD12,I_DRD12,I_DRD12
V08525: ICD Drug Dependence (Lifetime),V08525,ICD_DRD,ICD_DRD,ICD_DRD
V07816: ICD Drug Dependence Onset,V07816,DRD_ONI,DRD_ONI,DRD_ONI
V07819: ICD Drug Dependence Recency,V07819,DRD_RECI,DRD_RECI,DRD_RECI
V07595: DSM-IV Drug Dependence (30 day),V07595,D_DRD30,D_DRD30,D_DRD30
V07594: DSM-IV Drug Dependence (12 month),V07594,D_DRD12,D_DRD12,D_DRD12
V07855: DSM-IV Drug Dependence (Lifetime),V07855,DSM_DRD,DSM_DRD,DSM_DRD
V07815: DSM-IV Drug Dependence Onset,V07815,DRD_OND,DRD_OND,DRD_OND
V07817: DSM-IV Drug Dependence Recency,V07817,DRD_RECD,DRD_RECD,DRD_RECD
