Supplemental Variables,CPES,NCSR,NLAAS,NSAL
CPESPROJ: CPES Project Id/1=NCSR 2=NLAAS 3=NSAL,CPESPROJ,CPESPROJ,CPESPROJ,CPESPROJ
CPESCASE: CPES Case Id,CPESCASE,CPESCASE,CPESCASE,CPESCASE
VERSION: Version Release Number,VERSION,VERSION,VERSION,VERSION
CPESWTSH: CPES short weight,CPESWTSH,-,-,-
CPESWTLG: CPES long weight,CPESWTLG,-,-,-
NCSRWTSH: NCSR sample part 1 weight,NCSRWTSH,NCSRWTSH,-,-
NCSRWTLG: NCSR sample part 2 weight,NCSRWTLG,NCSRWTLG,-,-
NLAASWGT: NLAAS sample weight,NLAASWGT,-,NLAASWGT,-
NLSWTLAT: NLAAS Latino sample weight,NLSWTLAT,-,NLSWTLAT,-
NLSWTASN: NLAAS Asian sample weight,NLSWTASN,-,NLSWTASN,-
NSALWTCT: NSAL weight centered for total n of 6082,NSALWTCT,-,-,NSALWTCT
NSALWTPN: NSAL weight population weight,NSALWTPN,-,-,NSALWTPN
NCNSWTSH: NCSR and NSAL short weight,NCNSWTSH,-,-,-
NCNSWTLG: NCSR and NSAL long weight,NCNSWTLG,-,-,-
NCNLWTSH: NCSR and NLAAS short weight,NCNLWTSH,-,-,-
NCNLWTLG: NCSR and NLAAS long weight,NCNLWTLG,-,-,-
NSNLWT: NSAL and NLAAS weight,NSNLWT,-,-,-
