Psychological Resources and Health,CPES,NCSR,NLAAS,NSAL
V06641: I am person of worth/equal to others,V06641,-,-,C1A
V06642: I have # of good qualities,V06642,-,-,C1B
V06643: I am a failure,V06643,-,-,C1C
V06644: I do things as well as others,V06644,-,-,C1D
V06645: I don't have much to be proud of,V06645,-,-,C1E
V06646: I take positive attitude toward self,V06646,-,-,C1F
V06647: I am satisfied with self,V06647,-,-,C1G
V06648: I want more self-respect,V06648,-,-,C1H
V06649: I sometimes feel useless,V06649,-,-,C1I
V06650: I sometimes think I am no good,V06650,-,-,C1J
V06651: Impossible to reach my goals,V06651,-,-,C1K
V06652: My future seems hopeless/not changing for better,V06652,-,-,C1L
V06653: No way to solve some of my problems,V06653,-,-,C2A
V06654: I feel pushed around in life,V06654,-,-,C2B
V06655: Have little control over what happens to me,V06655,-,-,C2C
V06656: Can do just about anything set my mind to,V06656,-,-,C2D
V06657: I feel helpless dealing w/ life probs,V06657,-,-,C2E
V06658: What happens to me in future depends on me,V06658,-,-,C2F
V06659: Little I can do to change things important things in life,V06659,-,-,C2G
V06660: Look to God for strength,V06660,-,-,C2H
V06661: Where you are now in life on ladder,V06661,-,-,C3
V06662: Where would like to be in few yrs on ladder,V06662,-,-,C4
V06663: How likely to reach step on ladder,V06663,-,-,C5
V06664: Disappointment if could never reach step on ladder,V06664,-,-,C6
V06665: Lack of ability prevents you from reaching step,V06665,-,-,C7A
V06666: Lack of opportunity prevents you from reaching step,V06666,-,-,C7B
V06812: Lack of effort prevents you from getting to step,V06812,-,-,C7C
V06813: Bad luck prevents you from getting to step,V06813,-,-,C7D
V06814: Your race prevents you from getting to step,V06814,-,-,C7F
V06815: Your gender prevents you from getting to step,V06815,-,-,C7G
V06668: Overall present dental health,V06668,-,-,C8A
V06670: Compare health in general with 1 yr ago,V06670,-,-,C9
V06671: Prof said you have arthritis,V06671,-,-,C10A
V06672: Extent arthritis interferes w/ daily tasks,V06672,-,-,C11A
V06673: Prof said you have ulcers,V06673,-,-,C10B
V06674: Extent ulcer interferes w/ daily tasks,V06674,-,-,C11B
V06675: Prof said you have cancer,V06675,-,-,C10C
V06676: Extent cancer interferes w/ daily tasks,V06676,-,-,C11C
V06677: Prof said you had high blood pressure,V06677,-,-,C10D
V06678: Extent high blood pressure interferes w/ daily tasks,V06678,-,-,C11D
V06679: Prof said you had diabetes,V06679,-,-,C10E
V06680: Extent diabetes interferes w/ daily tasks,V06680,-,-,C11E
V06681: Prof said you had liver problem,V06681,-,-,C10F
V06682: Extent liver problem interferes w/ daily tasks,V06682,-,-,C11F
V06683: Prof said you had kidney problem,V06683,-,-,C10G
V06684: Extent kidney problem interferes w/ daily tasks,V06684,-,-,C11G
V06685: Prof said you had stroke,V06685,-,-,C10H
V06686: Extent stroke interferes w/ daily tasks,V06686,-,-,C11H
V06687: Prof said you had asthma,V06687,-,-,C10I
V06688: Extent asthma interferes w/ daily tasks,V06688,-,-,C11I
V06689: Prof said you had chronic lung disease,V06689,-,-,C10J
V06690: Extent lung disease interferes w/ daily tasks,V06690,-,-,C11J
V06691: Prof said you had blood circulation problem,V06691,-,-,C10K
V06692: Extent blood circulation prob interferes w/ daily tasks,V06692,-,-,C11K
V06693: Prof said you had sickle cell disease,V06693,-,-,C10L
V06694: Extent sickle cell disease interferes w/ daily tasks,V06694,-,-,C11L
